fecha,vs,modo,puntos adversario 2016-2017,rival fecha anterior
1,C.A. LANÚS,L,50,
2,C. DEP. GODOY CRUZ A.T.,V,43,C. AT. TUCUMÁN
3,C.A. VÉLEZ SARSFIELD,L,37,C. AT. TUCUMÁN
4,C.A. CHACARITA JRS.,V,43,C. AT. TUCUMÁN
5,C.A. PATRONATO (E.R.),L,34,C. AT. TUCUMÁN
6,C.A. BELGRANO (CBA.),V,26,C. AT. TUCUMÁN
7,C.A. RIVER PLATE,L,56,C. AT. TUCUMÁN
8,RACING CLUB,V,55,C. AT. TUCUMÁN
9,C.A. ROSARIO CTRAL.,L,44,C. AT. TUCUMÁN
10,ARSENAL F.C.,V,27,C. AT. TUCUMÁN
11,C. ESTUDIANTES DE L.P.,L,56,C. AT. TUCUMÁN
12,C.A. COLÓN,V,49,C. AT. TUCUMÁN
13,C.A. SAN LORENZO DE A.,L,53,C. AT. TUCUMÁN
14,C.A.TEMPERLEY,V,37,C. AT. TUCUMÁN
15,C.A. BANFIELD,L,54,C. AT. TUCUMÁN
16,C.A. SAN MARTÍN (S.J.),V,33,C. AT. TUCUMÁN
17,A.A. ARGENTINOS JRS.,L,43,C. AT. TUCUMÁN
18,C.A. TIGRE,V,31,C. AT. TUCUMÁN
19,C. AT. TUCUMÁN,L,33,C.S. Y D. DEF. Y JUSTICIA
20,C.S. Y D. DEF. Y JUSTICIA,L,49,C.A. BELGRANO (CBA.)
21,C.A. BOCA JRS.,V,63,C. AT. TUCUMÁN
22,C.A. INDEPENDIENTE,L,53,C. AT. TUCUMÁN
23,C.A. N.O. BOYS,V,49,C. AT. TUCUMÁN
24,C. DE G. Y ESGRIMA L.P.,L,43,C. AT. TUCUMÁN
25,C.A. UNIÓN,V,32,C. AT. TUCUMÁN
26,C.A. HURACÁN,L,29,C. AT. TUCUMÁN
27,C. OLIMPO (B. BLANCA),V,38,C. AT. TUCUMÁN
