nombre,Nombre AFA,Pts 2015,Pts 2016,Pts 2016/2017,Pts 2017/2018,PJ,prom_al_iniciar,partidos_locales,partidos_visitantes,puntos_de_los_que_visito,puntos_de_los_que_recibo,prom ptos adversarios recibidos,prom ptos adversarios vistados,dif
Boca Juniors,C.A. BOCA JRS.,64,20,63,43,93,"1,93",14,13,585,554,39.571,45.0,-5.429000000000002
San Lorenzo,C.A. SAN LORENZO DE A.,61,34,53,32,93,"1,95",14,13,545,604,43.143,41.923,1.2199999999999989
Estudiantes (LP),C. ESTUDIANTES DE L.P.,51,32,56,27,93,"1,83",14,13,538,608,43.429,41.385,2.044000000000004
Independiente,C.A. INDEPENDIENTE,54,27,53,29,92,"1,79",14,13,505,644,46.0,38.846,7.1540000000000035
Racing Club,RACING CLUB,57,24,55,28,93,"1,79",13,14,626,521,40.077,44.714,-4.6370000000000005
Talleres (C),C.A. TALLERES (CBA.),0,0,42,35,48,"1,35",14,13,526,634,45.286,40.462,4.823999999999998
Lanus,C.A. LANÚS,42,38,50,19,94,"1,69",13,14,560,592,45.538,40.0,5.537999999999997
Rosario Central,C.A. ROSARIO CTRAL.,59,20,44,24,94,"1,60",13,14,570,588,45.231,40.714,4.517000000000003
River Plate,C.A. RIVER PLATE,49,18,56,19,93,"1,62",13,14,569,577,44.385,40.643,3.7419999999999973
Banfield,C.A. BANFIELD,50,15,54,19,93,"1,57",14,13,561,587,41.929,43.154,-1.2250000000000014
Godoy Cruz,C. DEP. GODOY CRUZ A.T.,32,33,43,31,94,"1,40",13,14,641,518,39.846,45.786,-5.940000000000005
Gimnasia (LP),C. DE G. Y ESGRIMA L.P.,44,25,43,22,94,"1,45",13,14,558,601,46.231,39.857,6.374000000000002
Argentinos,A.A. ARGENTINOS JRS.,0,0,43,24,17,"0,00",14,13,582,577,41.214,44.769,-3.5549999999999997
Def y Justicia,C.S. Y D. DEF. Y JUSTICIA,32,25,49,25,93,"1,39",14,13,596,557,39.786,45.846,-6.059999999999995
Atl Tucuman,C. AT. TUCUMÁN,0,30,33,25,63,"1,37",14,13,594,575,41.071,45.692,-4.621000000000002
Colon,C.A. COLÓN,34,17,49,28,94,"1,30",14,13,559,594,42.429,43.0,-0.570999999999998
Union,C.A. UNIÓN,41,22,32,28,94,"1,23",13,14,650,520,40.0,46.429,-6.429000000000002
Belgrano,C.A. BELGRANO (CBA.),51,16,26,29,94,"1,21",13,14,656,520,40.0,46.857,-6.856999999999999
Newells,C.A. N.O. BOYS,40,16,49,14,93,"1,38",14,13,595,558,39.857,45.769,-5.911999999999999
San Martin (SJ),C.A. SAN MARTÍN (S.J.),37,23,33,22,93,"1,22",14,13,538,631,45.071,41.385,3.686
Patronato,C.A. PATRONATO (E.R.),0,20,34,24,64,"1,15",13,14,561,607,46.692,40.071,6.621000000000002
Huracan,C.A. HURACÁN,30,25,29,29,94,"1,09",13,14,569,604,46.462,40.643,5.819000000000003
Velez,C.A. VÉLEZ SARSFIELD,29,24,37,21,93,"1,18",13,14,567,598,46.0,40.5,5.5
Tigre,C.A. TIGRE,46,20,31,15,94,"1,26",14,13,528,643,45.929,40.615,5.314
Olimpo,C. OLIMPO (B. BLANCA),36,13,38,12,93,"1,14",13,14,653,511,39.308,46.643,-7.335000000000001
Temperley,C.A.TEMPERLEY,30,16,37,15,94,"1,08",14,13,555,610,43.571,42.692,0.8789999999999978
Arsenal,ARSENAL F.C.,27,27,27,11,94,"1,05",13,14,637,538,41.385,45.5,-4.115000000000002
Chacarita,C.A. CHACARITA JRS.,0,0,43,12,17,"0,00",13,14,647,512,39.385,46.214,-6.829000000000001
