Club,2015,2016,2016/2017,2017/2018,puntos,PJ,Nombre AFA,prom al iniciar
Boca Juniors,64,20,63,43,190,93,C.A. BOCA JRS.,"1,93"
San Lorenzo,61,34,53,32,180,93,C.A. SAN LORENZO DE A.,"1,95"
Estudiantes (LP),51,32,56,27,166,93,C. ESTUDIANTES DE L.P.,"1,83"
Independiente,54,27,53,29,163,92,C.A. INDEPENDIENTE,"1,79"
Racing Club,57,24,55,28,164,93,RACING CLUB,"1,79"
Talleres (C),0,0,42,35,77,48,C.A. TALLERES (CBA.),"1,35"
Lanus,42,38,50,19,149,94,C.A. LANÚS,"1,69"
Rosario Central,59,20,44,24,147,94,C.A. ROSARIO CTRAL.,"1,60"
River Plate,49,18,56,19,142,93,C.A. RIVER PLATE,"1,62"
Banfield,50,15,54,19,138,93,C.A. BANFIELD,"1,57"
Godoy Cruz,32,33,43,31,139,94,C. DEP. GODOY CRUZ A.T.,"1,40"
Gimnasia (LP),44,25,43,22,134,94,C. DE G. Y ESGRIMA L.P.,"1,45"
Argentinos,0,0,0,24,24,17,A.A. ARGENTINOS JRS.,"0,00"
Def y Justicia,32,25,49,25,131,93,C.S. Y D. DEF. Y JUSTICIA,"1,39"
Atl Tucuman,0,30,33,25,88,63,C. AT. TUCUMÁN,"1,37"
Colon,34,17,49,28,128,94,C.A. COLÓN,"1,30"
Union,41,22,32,28,123,94,C.A. UNIÓN,"1,23"
Belgrano,51,16,26,29,122,94,C.A. BELGRANO (CBA.),"1,21"
Newells,40,16,49,14,119,93,C.A. N.O. BOYS,"1,38"
San Martin (SJ),37,23,33,22,115,93,C.A. SAN MARTÍN (S.J.),"1,22"
Patronato,0,20,34,24,78,64,C.A. PATRONATO (E.R.),"1,15"
Huracan,30,25,29,29,113,94,C.A. HURACÁN,"1,09"
Velez,29,24,37,21,111,93,C.A. VÉLEZ SARSFIELD,"1,18"
Tigre,46,20,31,15,112,94,C.A. TIGRE,"1,26"
Olimpo,36,13,38,12,99,93,C. OLIMPO (B. BLANCA),"1,14"
Temperley,30,16,37,15,98,94,C.A.TEMPERLEY,"1,08"
Arsenal,27,27,27,11,92,94,ARSENAL F.C.,"1,05"
Chacarita,0,0,0,12,12,17,C.A. CHACARITA JRS.,"0,00"
